Date,Day,Name,Type,Year
21-Jul,Thursday,Racial Harmony Day,Observance,2016
23-Jul,Saturday,Dragon Boat Festival,Observance,2016
9-Aug,Tuesday,National Day,National holiday,2016
12-Sep,Monday,Hari Raya Haji,National holiday,2016
22-Sep,Thursday,September Equinox,Season,2016
4-Oct,Tuesday,Children's Day,Observance,2016
29-Oct,Saturday,Diwali/Deepavali,National holiday,2016
21-Dec,Wednesday,December Solstice,Season,2016
24-Dec,Saturday,Christmas Eve,Observance,2016
25-Dec,Sunday,Christmas Day,National holiday,2016
