Date,Open,High,Low,Close,Adj Close,Volume
"Mar 29, 2018",3393.86,3440.42,3392.67,3427.97,3427.97,342422400
"Mar 28, 2018",3424.1,3424.1,3382.78,3382.78,3382.78,238862600
"Mar 27, 2018",3438.54,3443.43,3423.98,3439.35,3439.35,218497200
"Mar 26, 2018",3400.95,3430.2,3388.9,3412.46,3412.46,248681800
"Mar 23, 2018",3436,3436.08,3394.55,3421.39,3421.39,342844800
"Mar 22, 2018",3523.83,3526.25,3485.47,3491.37,3491.37,154582800
"Mar 21, 2018",3516.32,3523.87,3503.26,3511.13,3511.13,166085700
"Mar 20, 2018",3484.42,3516.4,3481.8,3513.31,3513.31,164752200
"Mar 19, 2018",3515.95,3515.95,3493.52,3498.29,3498.29,140761600
"Mar 16, 2018",3514.7,3519.54,3501.81,3512.14,3512.14,301769600
"Mar 15, 2018",3520.81,3535.11,3506.45,3517.73,3517.73,233471100
"Mar 14, 2018",3541.39,3548.94,3523.65,3539.41,3539.41,210271600
"Mar 13, 2018",3533.53,3555.98,3530.96,3553.73,3553.73,250688100
"Mar 12, 2018",3519.25,3551.78,3517.73,3540.19,3540.19,194535500
"Mar 09, 2018",3494.43,3495.09,3476.24,3485.57,3485.57,208834200
"Mar 08, 2018",3462.33,3483.79,3461.9,3480.44,3480.44,191360100
"Mar 07, 2018",3467.75,3483.08,3447.55,3450.69,3450.69,293327200
"Mar 06, 2018",3475.4,3494.85,3471.84,3491.92,3491.92,246586700
"Mar 05, 2018",3490.06,3492.5,3429.45,3438.61,3438.61,330009100
"Mar 02, 2018",3479.54,3491.53,3470.87,3479.2,3479.2,229259500
"Mar 01, 2018",3493.44,3513.85,3481.36,3513.85,3513.85,255478100
"Feb 28, 2018",3565.21,3565.21,3505.09,3517.94,3517.94,396896600
"Feb 27, 2018",3566.97,3574.59,3540.39,3540.39,3540.39,335034600
"Feb 26, 2018",3543.27,3561.01,3535.91,3555.85,3555.85,273591200
"Feb 23, 2018",3509.05,3542.49,3508.85,3533.22,3533.22,254263200
"Feb 22, 2018",3503.09,3506.24,3482.41,3488.46,3488.46,324523200
"Feb 21, 2018",3474.34,3520.68,3472.94,3516.23,3516.23,285167600
"Feb 20, 2018",3483.35,3485.38,3463.93,3476.53,3476.53,258431200
"Feb 19, 2018",3462.11,3491.42,3457.54,3487.88,3487.88,221099500
"Feb 15, 2018",3415.97,3445.88,3415.51,3443.51,3443.51,261989200
"Feb 14, 2018",3431.61,3436.9,3402.86,3402.86,3402.86,271836000
"Feb 13, 2018",3404.07,3438.25,3399.82,3415.07,3415.07,299175500
"Feb 12, 2018",3384.98,3400.36,3372.7,3384.98,3384.98,308785500
"Feb 09, 2018",3354.84,3382.66,3340.55,3377.24,3377.24,389194700
"Feb 08, 2018",3421.3,3426.02,3376.81,3415.9,3415.9,424389600
"Feb 07, 2018",3445.83,3460.2,3377.19,3383.77,3383.77,389531100
"Feb 06, 2018",3414,3414.24,3353.96,3406.38,3406.38,492599900
"Feb 05, 2018",3483.07,3491,3470.12,3482.93,3482.93,274785700
"Feb 02, 2018",3545.18,3545.71,3522.65,3529.82,3529.82,362177000
"Feb 01, 2018",3536.93,3556.66,3528.33,3547.23,3547.23,320264200
"Jan 31, 2018",3531.47,3544.78,3526.14,3533.99,3533.99,321472200
"Jan 30, 2018",3563.94,3575.76,3548.74,3548.74,3548.74,241878300
"Jan 29, 2018",3577.42,3591.18,3575.79,3577.07,3577.07,170754600
"Jan 26, 2018",3574.09,3576.34,3561.19,3567.14,3567.14,191088300
"Jan 25, 2018",3609.52,3609.63,3565.27,3572.62,3572.62,229402200
