month,level_1,level_2,value
1980-09,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,106.321
1980-09,Export Price Index - Overall Items,Chemicals & Chemical Products,92.314
1980-09,Export Price Index - Overall Items,Manufactured Goods,99.571
1980-09,Export Price Index - Overall Items,Machinery & Transport Equipment,313.164
1980-09,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,119.065
1980-10,Export Price Index - Overall Items,Food & Live Animals,83.54
1980-10,Export Price Index - Overall Items,Beverages & Tobacco,69.634
1980-10,Export Price Index - Overall Items,Crude Materials (Excl Fuels),64.738
1980-10,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",53.853
1980-10,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,104.647
1980-10,Export Price Index - Overall Items,Chemicals & Chemical Products,92.066
1980-10,Export Price Index - Overall Items,Manufactured Goods,99.32
1980-10,Export Price Index - Overall Items,Machinery & Transport Equipment,312.663
1980-10,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,119.647
1980-11,Export Price Index - Overall Items,Food & Live Animals,85.184
1980-11,Export Price Index - Overall Items,Beverages & Tobacco,69.634
1980-11,Export Price Index - Overall Items,Crude Materials (Excl Fuels),63.672
1980-11,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",54.61
1980-11,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,106.799
1980-11,Export Price Index - Overall Items,Chemicals & Chemical Products,92.066
1980-11,Export Price Index - Overall Items,Manufactured Goods,98.566
1980-11,Export Price Index - Overall Items,Machinery & Transport Equipment,312.663
1980-11,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,119.647
1980-12,Export Price Index - Overall Items,Food & Live Animals,84.541
1980-12,Export Price Index - Overall Items,Beverages & Tobacco,70.091
1980-12,Export Price Index - Overall Items,Crude Materials (Excl Fuels),63.054
1980-12,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",54.73
1980-12,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,108.553
1980-12,Export Price Index - Overall Items,Chemicals & Chemical Products,92.066
1980-12,Export Price Index - Overall Items,Manufactured Goods,98.566
1980-12,Export Price Index - Overall Items,Machinery & Transport Equipment,314.419
1980-12,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,120.23
1981-01,Export Price Index - Overall Items,Food & Live Animals,83.898
1981-01,Export Price Index - Overall Items,Beverages & Tobacco,70.398
1981-01,Export Price Index - Overall Items,Crude Materials (Excl Fuels),62.212
1981-01,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",57.497
1981-01,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,106.56
1981-01,Export Price Index - Overall Items,Chemicals & Chemical Products,91.237
1981-01,Export Price Index - Overall Items,Manufactured Goods,98.397
1981-01,Export Price Index - Overall Items,Machinery & Transport Equipment,333.475
1981-01,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,123.842
1981-02,Export Price Index - Overall Items,Food & Live Animals,83.255
1981-02,Export Price Index - Overall Items,Beverages & Tobacco,71.008
1981-02,Export Price Index - Overall Items,Crude Materials (Excl Fuels),61.201
1981-02,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",57.437
1981-02,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,105.285
1981-02,Export Price Index - Overall Items,Chemicals & Chemical Products,91.402
1981-02,Export Price Index - Overall Items,Manufactured Goods,98.313
1981-02,Export Price Index - Overall Items,Machinery & Transport Equipment,332.722
1981-02,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,124.075
1981-03,Export Price Index - Overall Items,Food & Live Animals,82.04
1981-03,Export Price Index - Overall Items,Beverages & Tobacco,70.626
1981-03,Export Price Index - Overall Items,Crude Materials (Excl Fuels),59.236
1981-03,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",57.755
1981-03,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,106.321
1981-03,Export Price Index - Overall Items,Chemicals & Chemical Products,91.569
1981-03,Export Price Index - Overall Items,Manufactured Goods,98.566
1981-03,Export Price Index - Overall Items,Machinery & Transport Equipment,332.22
1981-03,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,123.958
1981-04,Export Price Index - Overall Items,Food & Live Animals,81.254
1981-04,Export Price Index - Overall Items,Beverages & Tobacco,71.008
1981-04,Export Price Index - Overall Items,Crude Materials (Excl Fuels),56.148
1981-04,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",58.273
1981-04,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,104.807
1981-04,Export Price Index - Overall Items,Chemicals & Chemical Products,91.402
1981-04,Export Price Index - Overall Items,Manufactured Goods,98.816
1981-04,Export Price Index - Overall Items,Machinery & Transport Equipment,332.722
1981-04,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,124.075
1981-05,Export Price Index - Overall Items,Food & Live Animals,80.396
1981-05,Export Price Index - Overall Items,Beverages & Tobacco,71.084
1981-05,Export Price Index - Overall Items,Crude Materials (Excl Fuels),57.159
1981-05,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",58.97
1981-05,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,109.669
1981-05,Export Price Index - Overall Items,Chemicals & Chemical Products,91.569
1981-05,Export Price Index - Overall Items,Manufactured Goods,99.236
1981-05,Export Price Index - Overall Items,Machinery & Transport Equipment,338.741
1981-05,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,124.075
1981-06,Export Price Index - Overall Items,Food & Live Animals,78.324
1981-06,Export Price Index - Overall Items,Beverages & Tobacco,71.008
1981-06,Export Price Index - Overall Items,Crude Materials (Excl Fuels),55.362
1981-06,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",58.134
1981-06,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,112.618
1981-06,Export Price Index - Overall Items,Chemicals & Chemical Products,91.486
1981-06,Export Price Index - Overall Items,Manufactured Goods,100.075
1981-06,Export Price Index - Overall Items,Machinery & Transport Equipment,339.993
1981-06,Export Price Index - Overall Items,Miscellaneous Manufactured Articles,123.725
1981-07,Export Price Index - Overall Items,Food & Live Animals,79.682
1981-07,Export Price Index - Overall Items,Beverages & Tobacco,71.236
1981-07,Export Price Index - Overall Items,Crude Materials (Excl Fuels),53.06
1981-07,Export Price Index - Overall Items,"Mineral Fuels, Lubricants & Related Materials",57.815
1981-07,Export Price Index - Overall Items,Animal & Vegetable Oils Fats & Waxes,103.771
