month,level_1,value
2003-08,Total,57.689
2003-08,Total Excluding Biomedical Manufacturing,66.402
2003-09,Total,55.181
2003-09,Total Excluding Biomedical Manufacturing,74.616
2003-10,Total,62.862
2003-10,Total Excluding Biomedical Manufacturing,74.813
2003-11,Total,52.672
2003-11,Total Excluding Biomedical Manufacturing,72.339
2003-12,Total,55.964
2003-12,Total Excluding Biomedical Manufacturing,79.266
2004-01,Total,56.984
2004-01,Total Excluding Biomedical Manufacturing,65.016
2004-02,Total,53.535
2004-02,Total Excluding Biomedical Manufacturing,68.282
2004-03,Total,57.454
2004-03,Total Excluding Biomedical Manufacturing,77.386
2004-04,Total,58.708
2004-04,Total Excluding Biomedical Manufacturing,73.824
2004-05,Total,59.179
2004-05,Total Excluding Biomedical Manufacturing,73.527
2004-06,Total,61.765
2004-06,Total Excluding Biomedical Manufacturing,80.849
2004-07,Total,58.943
2004-07,Total Excluding Biomedical Manufacturing,78.178
2004-08,Total,60.04
2004-08,Total Excluding Biomedical Manufacturing,78.772
2004-09,Total,62
2004-09,Total Excluding Biomedical Manufacturing,86.193
2004-10,Total,63.646
2004-10,Total Excluding Biomedical Manufacturing,80.552
2004-11,Total,58.238
2004-11,Total Excluding Biomedical Manufacturing,75.604
2004-12,Total,73.992
2004-12,Total Excluding Biomedical Manufacturing,85.699
2005-01,Total,63.098
2005-01,Total Excluding Biomedical Manufacturing,76.297
2005-02,Total,47.813
2005-02,Total Excluding Biomedical Manufacturing,67.095
2005-03,Total,62.549
2005-03,Total Excluding Biomedical Manufacturing,84.907
2005-04,Total,61.06
2005-04,Total Excluding Biomedical Manufacturing,79.662
2005-05,Total,60.276
2005-05,Total Excluding Biomedical Manufacturing,77.881
2005-06,Total,68.741
2005-06,Total Excluding Biomedical Manufacturing,85.501
2005-07,Total,62.549
2005-07,Total Excluding Biomedical Manufacturing,81.839
2005-08,Total,67.174
2005-08,Total Excluding Biomedical Manufacturing,83.125
2005-09,Total,75.796
2005-09,Total Excluding Biomedical Manufacturing,91.735
2005-10,Total,75.717
2005-10,Total Excluding Biomedical Manufacturing,94.21
2005-11,Total,70.543
2005-11,Total Excluding Biomedical Manufacturing,88.073
2005-12,Total,78.068
2005-12,Total Excluding Biomedical Manufacturing,98.959
2006-01,Total,63.098
2006-01,Total Excluding Biomedical Manufacturing,83.72
2006-02,Total,64.822
2006-02,Total Excluding Biomedical Manufacturing,78.672
2006-03,Total,77.598
2006-03,Total Excluding Biomedical Manufacturing,96.188
2006-04,Total,62.235
2006-04,Total Excluding Biomedical Manufacturing,85.996
2006-05,Total,66.39
2006-05,Total Excluding Biomedical Manufacturing,86.985
2006-06,Total,84.104
2006-06,Total Excluding Biomedical Manufacturing,95.793
2006-07,Total,75.012
2006-07,Total Excluding Biomedical Manufacturing,93.121
2006-08,Total,70.779
2006-08,Total Excluding Biomedical Manufacturing,92.625
2006-09,Total,80.733
2006-09,Total Excluding Biomedical Manufacturing,100.642
2006-10,Total,78.461
2006-10,Total Excluding Biomedical Manufacturing,94.308
2006-11,Total,82.144
2006-11,Total Excluding Biomedical Manufacturing,96.09
2006-12,Total,82.536
2006-12,Total Excluding Biomedical Manufacturing,101.829
2007-01,Total,72.895
2007-01,Total Excluding Biomedical Manufacturing,96.287
2007-02,Total,68.271
2007-02,Total Excluding Biomedical Manufacturing,83.917
2007-03,Total,77.598
2007-03,Total Excluding Biomedical Manufacturing,102.621
2007-04,Total,75.952
2007-04,Total Excluding Biomedical Manufacturing,95.891
2007-05,Total,77.441
2007-05,Total Excluding Biomedical Manufacturing,91.834
2007-06,Total,75.168
2007-06,Total Excluding Biomedical Manufacturing,98.959
2007-07,Total,93.667
2007-07,Total Excluding Biomedical Manufacturing,98.86
2007-08,Total,81.203
2007-08,Total Excluding Biomedical Manufacturing,101.532
2007-09,Total,78.304
2007-09,Total Excluding Biomedical Manufacturing,107.074
2007-10,Total,81.125
2007-10,Total Excluding Biomedical Manufacturing,102.522
2007-11,Total,79.792
2007-11,Total Excluding Biomedical Manufacturing,102.126
2007-12,Total,79.244
2007-12,Total Excluding Biomedical Manufacturing,106.183
2008-01,Total,78.931
2008-01,Total Excluding Biomedical Manufacturing,99.355
2008-02,Total,75.246
2008-02,Total Excluding Biomedical Manufacturing,89.36
2008-03,Total,91.393
2008-03,Total Excluding Biomedical Manufacturing,100.146
2008-04,Total,71.954
2008-04,Total Excluding Biomedical Manufacturing,95.99
2008-05,Total,67.017
2008-05,Total Excluding Biomedical Manufacturing,94.21
2008-06,Total,76.893
2008-06,Total Excluding Biomedical Manufacturing,100.443
2008-07,Total,73.131
2008-07,Total Excluding Biomedical Manufacturing,102.126
2008-08,Total,71.484
2008-08,Total Excluding Biomedical Manufacturing,96.486
2008-09,Total,80.89
2008-09,Total Excluding Biomedical Manufacturing,102.126
2008-10,Total,71.249
2008-10,Total Excluding Biomedical Manufacturing,95.397
2008-11,Total,74.463
2008-11,Total Excluding Biomedical Manufacturing,88.073
2008-12,Total,68.662
2008-12,Total Excluding Biomedical Manufacturing,83.818
2009-01,Total,58.629
2009-01,Total Excluding Biomedical Manufacturing,70.261
2009-02,Total,66.624
2009-02,Total Excluding Biomedical Manufacturing,72.339
2009-03,Total,61.921
2009-03,Total Excluding Biomedical Manufacturing,77.287
2009-04,Total,72.503
2009-04,Total Excluding Biomedical Manufacturing,82.136
2009-05,Total,70.309
2009-05,Total Excluding Biomedical Manufacturing,77.782
2009-06,Total,71.798
2009-06,Total Excluding Biomedical Manufacturing,87.48
2009-07,Total,86.299
2009-07,Total Excluding Biomedical Manufacturing,95.198
2009-08,Total,80.42
2009-08,Total Excluding Biomedical Manufacturing,90.944
2009-09,Total,75.717
2009-09,Total Excluding Biomedical Manufacturing,97.87
2009-10,Total,73.131
2009-10,Total Excluding Biomedical Manufacturing,98.366
2009-11,Total,67.33
2009-11,Total Excluding Biomedical Manufacturing,93.021
2009-12,Total,79.165
2009-12,Total Excluding Biomedical Manufacturing,104.897
2010-01,Total,82.693
2010-01,Total Excluding Biomedical Manufacturing,94.803
2010-02,Total,79.715
2010-02,Total Excluding Biomedical Manufacturing,86.094
2010-03,Total,94.371
2010-03,Total Excluding Biomedical Manufacturing,106.48
2010-04,Total,108.089
2010-04,Total Excluding Biomedical Manufacturing,105.194
2010-05,Total,111.538
2010-05,Total Excluding Biomedical Manufacturing,101.433
2010-06,Total,92.177
2010-06,Total Excluding Biomedical Manufacturing,111.824
2010-07,Total,94.294
2010-07,Total Excluding Biomedical Manufacturing,113.308
2010-08,Total,85.985
2010-08,Total Excluding Biomedical Manufacturing,111.923
2010-09,Total,95.391
2010-09,Total Excluding Biomedical Manufacturing,117.167
2010-10,Total,94.764
2010-10,Total Excluding Biomedical Manufacturing,110.636
2010-11,Total,95.077
2010-11,Total Excluding Biomedical Manufacturing,109.548
2010-12,Total,86.142
2010-12,Total Excluding Biomedical Manufacturing,115.98
2011-01,Total,103.886
2011-01,Total Excluding Biomedical Manufacturing,111.322
2011-02,Total,88.513
2011-02,Total Excluding Biomedical Manufacturing,93.543
2011-03,Total,113.355
2011-03,Total Excluding Biomedical Manufacturing,116.14
2011-04,Total,100.57
2011-04,Total Excluding Biomedical Manufacturing,104.432
2011-05,Total,94.884
2011-05,Total Excluding Biomedical Manufacturing,101.758
2011-06,Total,104.508
2011-06,Total Excluding Biomedical Manufacturing,110.227
2011-07,Total,99.42
2011-07,Total Excluding Biomedical Manufacturing,103.804
2011-08,Total,98.259
2011-08,Total Excluding Biomedical Manufacturing,102.59
2011-09,Total,102.559
2011-09,Total Excluding Biomedical Manufacturing,104.471
2011-10,Total,101.024
2011-10,Total Excluding Biomedical Manufacturing,98.974
2011-11,Total,92.889
2011-11,Total Excluding Biomedical Manufacturing,95.746
2011-12,Total,107.837
2011-12,Total Excluding Biomedical Manufacturing,111
2012-01,Total,93.542
2012-01,Total Excluding Biomedical Manufacturing,93.029
2012-02,Total,99.328
2012-02,Total Excluding Biomedical Manufacturing,100.372
2012-03,Total,109.505
2012-03,Total Excluding Biomedical Manufacturing,113.072
2012-04,Total,98.626
2012-04,Total Excluding Biomedical Manufacturing,105.052
2012-05,Total,100.979
2012-05,Total Excluding Biomedical Manufacturing,104.455
2012-06,Total,112.583
2012-06,Total Excluding Biomedical Manufacturing,109.381
2012-07,Total,101.583
2012-07,Total Excluding Biomedical Manufacturing,104.147
2012-08,Total,95.469
2012-08,Total Excluding Biomedical Manufacturing,97.152
2012-09,Total,98.859
2012-09,Total Excluding Biomedical Manufacturing,102.53
2012-10,Total,96.022
2012-10,Total Excluding Biomedical Manufacturing,98.427
2012-11,Total,95.488
2012-11,Total Excluding Biomedical Manufacturing,96.321
2012-12,Total,109.574
2012-12,Total Excluding Biomedical Manufacturing,108.266
2013-01,Total,93.686
2013-01,Total Excluding Biomedical Manufacturing,96.826
2013-02,Total,83.928
2013-02,Total Excluding Biomedical Manufacturing,84.128
