month,level_1,value
2014-04,Value Of Food & Beverage Sales  - Estimated,664
2014-05,Value Of Food & Beverage Sales  - Estimated,712
2014-06,Value Of Food & Beverage Sales  - Estimated,689
2014-07,Value Of Food & Beverage Sales  - Estimated,691
2014-08,Value Of Food & Beverage Sales  - Estimated,734
2014-09,Value Of Food & Beverage Sales  - Estimated,694
2014-10,Value Of Food & Beverage Sales  - Estimated,727
2014-11,Value Of Food & Beverage Sales  - Estimated,706
2014-12,Value Of Food & Beverage Sales  - Estimated,763
2015-01,Value Of Food & Beverage Sales  - Estimated,710
2015-02,Value Of Food & Beverage Sales  - Estimated,712
2015-03,Value Of Food & Beverage Sales  - Estimated,704
2015-04,Value Of Food & Beverage Sales  - Estimated,670
2015-05,Value Of Food & Beverage Sales  - Estimated,711
2015-06,Value Of Food & Beverage Sales  - Estimated,671
2015-07,Value Of Food & Beverage Sales  - Estimated,701
2015-08,Value Of Food & Beverage Sales  - Estimated,722
2015-09,Value Of Food & Beverage Sales  - Estimated,691
2015-10,Value Of Food & Beverage Sales  - Estimated,712
2015-11,Value Of Food & Beverage Sales  - Estimated,686
2015-12,Value Of Food & Beverage Sales  - Estimated,727
2016-01,Value Of Food & Beverage Sales  - Estimated,713
2016-02,Value Of Food & Beverage Sales  - Estimated,710
2016-03,Value Of Food & Beverage Sales  - Estimated,698
2016-04,Value Of Food & Beverage Sales  - Estimated,683
2016-05,Value Of Food & Beverage Sales  - Estimated,715
2016-06,Value Of Food & Beverage Sales  - Estimated,673
2016-07,Value Of Food & Beverage Sales  - Estimated,727
2016-08,Value Of Food & Beverage Sales  - Estimated,703
2016-09,Value Of Food & Beverage Sales  - Estimated,714
2016-10,Value Of Food & Beverage Sales  - Estimated,717
2016-11,Value Of Food & Beverage Sales  - Estimated,678
2016-12,Value Of Food & Beverage Sales  - Estimated,726
2017-01,Value Of Food & Beverage Sales  - Estimated,737
2017-02,Value Of Food & Beverage Sales  - Estimated,659
2017-03,Value Of Food & Beverage Sales  - Estimated,666
2017-04,Value Of Food & Beverage Sales  - Estimated,664
2017-05,Value Of Food & Beverage Sales  - Estimated,689
2017-06,Value Of Food & Beverage Sales  - Estimated,678
2017-07,Value Of Food & Beverage Sales  - Estimated,723
2017-08,Value Of Food & Beverage Sales  - Estimated,728
2017-09,Value Of Food & Beverage Sales  - Estimated,712
