"","RSI Current","RSI Chained","Tourism","Overall employment changes","Food & Accomodation employment changes","CPI","ULC","IPI","AICc","RMSE","pVal","RMSE_forecast"
"83",0,1,0,1,0,0,1,0,513.141541479653,1.82110944850263,0.194804200509167,6.36014863741758
"84",0,1,0,1,0,0,1,1,515.424587088891,1.82106097451894,0.146707846651016,6.27974035572155
"85",0,1,0,1,0,1,0,0,500.86196534147,1.72533742962982,0.0678497597308877,2.68650727079866
"86",0,1,0,1,0,1,0,1,503.027031570179,1.72420123345196,0.044907427188131,2.68742095854694
"87",0,1,0,1,0,1,1,0,501.938478454872,1.71417539091055,0.0419469306077469,2.67926081427056
"88",0,1,0,1,0,1,1,1,504.173279027436,1.7135487088445,0.0283145143417017,2.69818024630156
"89",0,1,0,1,1,0,0,0,512.621220725906,1.81430934983616,0.227987490074147,6.27608458440198
"90",0,1,0,1,1,0,0,1,514.907523404183,1.81427092024893,0.177325847582293,6.20527673033164
"91",0,1,0,1,1,0,1,0,514.890265750377,1.81410378506416,0.174549909566127,6.26534631209253
"92",0,1,0,1,1,0,1,1,517.212352610833,1.81403559055458,0.130199501792409,6.17776257253507
"93",0,1,0,1,1,1,0,0,503.120627808436,1.72534958221899,0.0488843958043075,2.68602929355311
"94",0,1,0,1,1,1,0,1,505.326880689119,1.72418776394443,0.03243685436854,2.68787664369695
"95",0,1,0,1,1,1,1,0,504.195858285176,1.71393934914311,0.0228391616124854,2.67337299907695
"96",0,1,0,1,1,1,1,1,506.483912147439,1.71337721760059,0.0153904153163091,2.69173890431094
"97",0,1,1,0,0,0,0,0,508.127039888064,1.80144098823525,0.296632778836079,4.97156034976542
"98",0,1,1,0,0,0,0,1,510.385999808841,1.80143708031759,0.243643346153436,4.97518227348525
"99",0,1,1,0,0,0,1,0,510.384573868006,1.80142946399065,0.241159746795779,4.96947924213859
"100",0,1,1,0,0,0,1,1,512.68465451847,1.80142887422967,0.192773929629341,4.97008055796988
