month,level_1,level_2,value
1996-11,Total,Other Eating Places,80.1
1996-12,Total,Restaurants,82.9
1996-12,Total,Fast Food Outlets,66.2
1996-12,Total,Food Caterers,na
1996-12,Total,Other Eating Places,85.2
1997-01,Total,Restaurants,68.1
1997-01,Total,Fast Food Outlets,54
1997-01,Total,Food Caterers,na
1997-01,Total,Other Eating Places,82.6
1997-02,Total,Restaurants,70.5
1997-02,Total,Fast Food Outlets,55.7
1997-02,Total,Food Caterers,na
1997-02,Total,Other Eating Places,76.4
1997-03,Total,Restaurants,71.6
1997-03,Total,Fast Food Outlets,64.3
1997-03,Total,Food Caterers,na
1997-03,Total,Other Eating Places,85.6
1997-04,Total,Restaurants,62.4
1997-04,Total,Fast Food Outlets,58.6
1997-04,Total,Food Caterers,na
1997-04,Total,Other Eating Places,82
1997-05,Total,Restaurants,68.6
1997-05,Total,Fast Food Outlets,61.3
1997-05,Total,Food Caterers,na
1997-05,Total,Other Eating Places,82.8
1997-06,Total,Restaurants,69.8
1997-06,Total,Fast Food Outlets,63.9
1997-06,Total,Food Caterers,na
1997-06,Total,Other Eating Places,84.2
1997-07,Total,Restaurants,65.4
1997-07,Total,Fast Food Outlets,61.5
1997-07,Total,Food Caterers,na
1997-07,Total,Other Eating Places,83.2
1997-08,Total,Restaurants,65.1
1997-08,Total,Fast Food Outlets,63.2
1997-08,Total,Food Caterers,na
1997-08,Total,Other Eating Places,84
1997-09,Total,Restaurants,74.3
1997-09,Total,Fast Food Outlets,58.6
1997-09,Total,Food Caterers,na
1997-09,Total,Other Eating Places,81.3
1997-10,Total,Restaurants,71.1
1997-10,Total,Fast Food Outlets,59.9
1997-10,Total,Food Caterers,na
1997-10,Total,Other Eating Places,81.2
1997-11,Total,Restaurants,75.4
1997-11,Total,Fast Food Outlets,60.9
1997-11,Total,Food Caterers,na
1997-11,Total,Other Eating Places,81.1
1997-12,Total,Restaurants,83.3
1997-12,Total,Fast Food Outlets,66.2
1997-12,Total,Food Caterers,na
1997-12,Total,Other Eating Places,87.4
1998-01,Total,Restaurants,71.1
1998-01,Total,Fast Food Outlets,61.2
1998-01,Total,Food Caterers,na
1998-01,Total,Other Eating Places,81.1
1998-02,Total,Restaurants,68.1
1998-02,Total,Fast Food Outlets,55.1
